shoe_name,category,color_count,original_price,product_code
Deviate Nitro 2 Winterised women's Trail Running Shoes,women,1,"9,599",376857_01
Cilia Lux women's Sneakers,women,1,"3,299",370282_09
Fier Nitro women's Sneakers,women,2,"4,799",389932_01
Fier Nitro women's Sneakers,women,2,"4,799",389932_02
Cali Dream Brand Love women's Sneakers,women,2,"4,499",394757_01
Cali Dream Brand Love women's Sneakers,women,2,"4,499",394757_02
Vikky v3 Mid Leather women's Sneakers,women,2,"3,569",387610_07
Vikky v3 Mid Leather women's Sneakers,women,2,"3,769",387610_08
Mayze Chelsea women's Jelly Boots,women,1,"5,399",393626_02
Future Rider Soft women's Sneakers,women,2,"3,999",381141_19
Future Rider Soft women's Sneakers,women,2,"3,759",381141_20
Future Rider Soft women's Sneakers,women,2,"3,999",381141_19
Future Rider Soft women's Sneakers,women,2,"3,759",381141_20
Mayze Mix women's Sneakers,women,4,"5,399",387468_06
Mayze Mix women's Sneakers,women,4,"5,399",387468_08
Mayze Mix women's Sneakers,women,4,"5,399",387468_11
Mayze Mix women's Sneakers,women,4,"4,499",387468_13
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_01
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_03
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_08
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_09
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_01
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_03
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_08
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_09
Mayze Mix women's Sneakers,women,4,"5,399",387468_06
Mayze Mix women's Sneakers,women,4,"5,399",387468_08
Mayze Mix women's Sneakers,women,4,"5,399",387468_11
Mayze Mix women's Sneakers,women,4,"4,499",387468_13
Mayze Crashed women's Sneakers,women,2,"7,999",392495_02
Mayze Crashed women's Sneakers,women,2,"4,799",392495_08
PUMA Sienna SOFTRIDE women's Ballerina Shoes,women,1,"2,019",394636_01
Mayze Crashed PRM women's Sneakers,women,2,"5,399",393070_03
Mayze Crashed PRM women's Sneakers,women,2,"5,399",393070_04
PUMA X-Ray Fluido women's Sneakers,women,1,"2,999",394642_01
PUMA Celi women's Sneakers,women,2,"2,249",394653_01
PUMA Celi women's Sneakers,women,2,"2,249",394653_02
PUMA Celi women's Sneakers,women,2,"2,249",394653_01
PUMA Celi women's Sneakers,women,2,"2,249",394653_02
Whizzlite women's Sneakers,women,2,"2,159",394652_01
Whizzlite women's Sneakers,women,2,"2,159",394652_02
Whizzlite women's Sneakers,women,2,"2,159",394652_01
Whizzlite women's Sneakers,women,2,"2,159",394652_02
RS-X Soft women's Sneakers,women,3,"5,999",393772_01
RS-X Soft women's Sneakers,women,3,"5,999",393772_02
RS-X Soft women's Sneakers,women,3,"5,199",393772_05
RS-X Soft women's Sneakers,women,3,"5,999",393772_01
RS-X Soft women's Sneakers,women,3,"5,999",393772_02
RS-X Soft women's Sneakers,women,3,"5,199",393772_05
Karmen Rebelle women's Sneakers,women,2,"3,849",387212_01
Karmen Rebelle women's Sneakers,women,2,"3,849",387212_02
Carina 2.0 women's Sneakers,women,2,"3,119",392518_01
Carina 2.0 women's Sneakers,women,2,"3,119",392518_02
Mayze Forward History women's Sneakers,women,1,"5,999",393625_01
Cali Court Match women's Sneakers,women,2,"4,229",393094_01
Cali Court Match women's Sneakers,women,2,"4,949",393094_02
Karmen Rebelle women's Sneakers,women,2,"3,849",387212_01
Karmen Rebelle women's Sneakers,women,2,"3,849",387212_02
Future Rider Pastel women's Sneakers,women,2,"4,049",383683_05
Future Rider Pastel women's Sneakers,women,2,"4,499",383683_06
Future Rider Pastel women's Sneakers,women,2,"4,049",383683_05
Future Rider Pastel women's Sneakers,women,2,"4,499",383683_06
Mayze Mix women's Sneakers,women,4,"5,399",387468_06
Mayze Mix women's Sneakers,women,4,"5,399",387468_08
Mayze Mix women's Sneakers,women,4,"5,399",387468_11
Mayze Mix women's Sneakers,women,4,"4,499",387468_13
Tori women's Shoes,women,1,"3,999",383026_17
PUMA SMASH V1 women's Sneakers,women,2,"3,999",395642_01
PUMA SMASH V1 women's Sneakers,women,2,"3,999",395642_02
PUMA SMASH V1 women's Sneakers,women,2,"3,999",395642_01
PUMA SMASH V1 women's Sneakers,women,2,"3,999",395642_02
PUMA Cali Court Patent women's Sneakers,women,2,"4,049",394755_01
PUMA Cali Court Patent women's Sneakers,women,2,"4,049",394755_02
PUMA Cali Court Patent women's Sneakers,women,2,"4,049",394755_01
PUMA Cali Court Patent women's Sneakers,women,2,"4,049",394755_02
RS-Pulsoid Metallic women's Sneakers,women,2,"5,999",393207_01
RS-Pulsoid Metallic women's Sneakers,women,2,"5,999",393207_02
Slipstream PRM women's Sneakers,women,2,"6,599",392061_03
Slipstream PRM women's Sneakers,women,2,"6,599",392061_05
RS-Pulsoid Metallic women's Sneakers,women,2,"5,999",393207_01
RS-Pulsoid Metallic women's Sneakers,women,2,"5,999",393207_02
Slipstream PRM women's Sneakers,women,2,"6,599",392061_03
Slipstream PRM women's Sneakers,women,2,"6,599",392061_05
Kaia 2.0 women's Sneakers,women,2,"2,999",392320_04
Kaia 2.0 women's Sneakers,women,2,"2,999",392320_05
Kaia 2.0 women's Sneakers,women,2,"2,999",392320_04
Kaia 2.0 women's Sneakers,women,2,"2,999",392320_05
Carina Slim Perf women's Sneakers,women,2,"2,339",395829_01
Carina Slim Perf women's Sneakers,women,2,"2,249",395829_02
Rider FVW Clean women's Sneakers,women,2,"4,799",390646_03
Rider FVW Clean women's Sneakers,women,2,"4,799",390646_04
Carina Slim Perf women's Sneakers,women,2,"2,339",395829_01
Carina Slim Perf women's Sneakers,women,2,"2,249",395829_02
Carina Street women's Sneakers,women,1,"3,639",389390_02
Karmen Pop-Up Metallics women's Sneakers,women,2,"3,709",394669_01
Karmen Pop-Up Metallics women's Sneakers,women,2,"3,709",394669_02
Carina Street VTG women's Sneakers,women,2,"3,849",392338_02
Carina Street VTG women's Sneakers,women,2,"3,849",392338_03
Carina Street VTG women's Sneakers,women,2,"3,849",392338_02
Carina Street VTG women's Sneakers,women,2,"3,849",392338_03
Rider FVW Clean women's Sneakers,women,2,"4,799",390646_03
Rider FVW Clean women's Sneakers,women,2,"4,799",390646_04
Karmen Pop-Up Metallics women's Sneakers,women,2,"3,709",394669_01
Karmen Pop-Up Metallics women's Sneakers,women,2,"3,709",394669_02
Mayze Stack XPL BM Desert women's Sneakers,women,1,"5,999",393061_01
Blktop Rider Femme women's Sneakers,women,2,"5,399",393119_01
Blktop Rider Femme women's Sneakers,women,2,"5,399",393119_03
Mayze Crashed PRM women's Sneakers,women,2,"5,399",393070_03
Mayze Crashed PRM women's Sneakers,women,2,"5,399",393070_04
RS 3.0 Pop women's Sneakers,women,2,"4,799",393934_01
RS 3.0 Pop women's Sneakers,women,2,"4,799",393934_02
Cali Dream Pastel women's Sneakers,women,2,"4,799",392733_10
Cali Dream Pastel women's Sneakers,women,2,"4,799",392733_11
Pacer Future Allure women's Sneakers,women,1,"3,499",384636_19
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_01
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_03
RS-Pulsoid women's Sneakers,women,4,"5,999",392497_08
