size_count,color_1,color_2,color_3,color_4,color_5,product_code
4.0,,,,,,376857_01
1.0,,,,,,370282_09
3.0,PUMA Black,Rose Dust,,,,389932_01
2.0,PUMA Black,Rose Dust,,,,389932_02
1.0,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,,394757_01
2.0,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,,394757_02
2.0,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,,387610_07
2.0,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,,387610_08
1.0,,,,,,393626_02
6.0,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,,381141_19
6.0,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,,381141_20
6.0,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,,381141_19
6.0,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,,381141_20
2.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_06
4.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_08
6.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_11
6.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_13
4.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_01
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_03
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_08
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_09
4.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_01
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_03
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_08
6.0,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,,392497_09
2.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_06
4.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_08
6.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_11
6.0,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,,387468_13
3.0,PUMA White-PUMA Black,PUMA White-Grape Mist,,,,392495_02
6.0,PUMA White-PUMA Black,PUMA White-Grape Mist,,,,392495_08
4.0,,,,,,394636_01
6.0,Warm White,PUMA White,,,,393070_03
5.0,Warm White,PUMA White,,,,393070_04
2.0,,,,,,394642_01
5.0,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,,394653_01
6.0,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,,394653_02
5.0,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,,394653_01
6.0,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,,394653_02
1.0,PUMA Black-Matte Silver,Warm White-Matte Silver,,,,394652_01
3.0,PUMA Black-Matte Silver,Warm White-Matte Silver,,,,394652_02
1.0,PUMA Black-Matte Silver,Warm White-Matte Silver,,,,394652_01
