product_code,review_count,size,comfort,durability,star
376857_01,,,,,
370282_09,,,,,
389932_01,,,,,
389932_02,,,,,
394757_01,,,,,
394757_02,,,,,
387610_07,,,,,
387610_08,,,,,
393626_02,,,,,
381141_19,,,,,
381141_20,,,,,
381141_19,,,,,
381141_20,,,,,
387468_06,,,,,
387468_08,,,,,
387468_11,,,,,
387468_13,,,,,
392497_01,,,,,
392497_03,,,,,
392497_08,,,,,
392497_09,,,,,
392497_01,,,,,
392497_03,,,,,
392497_08,,,,,
392497_09,,,,,
387468_06,,,,,
387468_08,,,,,
387468_11,,,,,
387468_13,,,,,
392495_02,,,,,
392495_08,,,,,
394636_01,,,,,
393070_03,,,,,
393070_04,,,,,
394642_01,,,,,
394653_01,,,,,
394653_02,,,,,
394653_01,,,,,
394653_02,,,,,
394652_01,,,,,
394652_02,,,,,
394652_01,,,,,
394652_02,,,,,
393772_01,,,,,
393772_02,,,,,
393772_05,,,,,
393772_01,,,,,
393772_02,,,,,
393772_05,,,,,
387212_01,,,,,
387212_02,,,,,
392518_01,,,,,
392518_02,,,,,
393625_01,,,,,
393094_01,,,,,
393094_02,,,,,
387212_01,,,,,
387212_02,,,,,
383683_05,,,,,
383683_06,,,,,
383683_05,,,,,
383683_06,,,,,
387468_06,,,,,
387468_08,,,,,
387468_11,,,,,
387468_13,,,,,
383026_17,,,,,
395642_01,,,,,
395642_02,,,,,
395642_01,,,,,
395642_02,,,,,
394755_01,,,,,
394755_02,,,,,
394755_01,,,,,
394755_02,,,,,
393207_01,,,,,
393207_02,,,,,
392061_03,,,,,
392061_05,,,,,
393207_01,,,,,
393207_02,,,,,
392061_03,,,,,
392061_05,,,,,
392320_04,,,,,
392320_05,,,,,
392320_04,,,,,
392320_05,,,,,
395829_01,,,,,
395829_02,,,,,
390646_03,,,,,
390646_04,,,,,
395829_01,,,,,
395829_02,,,,,
389390_02,,,,,
394669_01,,,,,
394669_02,,,,,
392338_02,,,,,
392338_03,,,,,
392338_02,,,,,
392338_03,,,,,
390646_03,,,,,
390646_04,,,,,
394669_01,,,,,
394669_02,,,,,
393061_01,,,,,
393119_01,,,,,
393119_03,,,,,
393070_03,,,,,
393070_04,,,,,
393934_01,,,,,
393934_02,,,,,
392733_10,,,,,
392733_11,,,,,
384636_19,,,,,
392497_01,,,,,
392497_03,,,,,
392497_08,,,,,
392497_09,,,,,
307874_01,,,,,
384209_01,,,,,
384209_02,,,,,
393987_01,,,,,
394009_01,,,,,
393934_01,,,,,
393934_02,,,,,
393032_01,,,,,
393032_02,,,,,
393032_01,,,,,
393032_02,,,,,
394874_01,,,,,
370325_01,,,,,
370325_02,,,,,
370325_10,,,,,
385849_02,,,,,
385849_04,,,,,
385849_05,,,,,
385849_17,,,,,
393582_01,,,,,
393582_02,,,,,
394277_02,,,,,
385849_02,,,,,
385849_04,,,,,
385849_05,,,,,
385849_17,,,,,
385849_02,,,,,
385849_04,,,,,
385849_05,,,,,
385849_17,,,,,
384363_01,,,,,
393077_01,,,,,
393077_02,,,,,
393124_01,,,,,
393124_02,,,,,
393072_01,,,,,
389887_01,,,,,
384209_01,,,,,
384209_02,,,,,
383113_01,,,,,
383113_03,,,,,
383113_08,,,,,
383113_10,,,,,
389894_01,,,,,
389894_02,,,,,
393214_01,,,,,
393214_02,,,,,
386270_13,,,,,
393141_01,,,,,
393141_02,,,,,
383113_01,,,,,
383113_03,,,,,
383113_08,,,,,
383113_10,,,,,
393094_01,,,,,
393094_02,,,,,
392497_01,,,,,
392497_03,,,,,
392497_08,,,,,
392497_09,,,,,
383113_01,,,,,
383113_03,,,,,
383113_08,,,,,
383113_10,,,,,
395111_02,,,,,
387524_01,,,,,
393099_02,,,,,
393077_01,,,,,
393077_02,,,,,
393049_01,,,,,
393049_02,,,,,
393141_01,,,,,
393141_02,,,,,
389298_02,,,,,
371212_01,,,,,
385279_02,,,,,
389923_01,,,,,
386274_09,,,,,
383113_01,,,,,
383113_03,,,,,
383113_08,,,,,
383113_10,,,,,
389932_01,,,,,
389932_02,,,,,
393069_01,,,,,
393069_02,,,,,
393118_02,,,,,
389919_02,,,,,
390661_02,,,,,
370281_01,,,,,
392514_01,,,,,
389835_01,,,,,
389835_02,,,,,
307679_01,,,,,
390651_01,,,,,
383115_14,,,,,
391101_01,,,,,
385851_02,,,,,
392735_01,,,,,
364040_04,,,,,
384083_03,,,,,
384893_04,,,,,
383113_01,,,,,
383113_03,,,,,
383113_08,,,,,
383113_10,,,,,
393778_01,,,,,
385849_02,,,,,
385849_04,,,,,
385849_05,,,,,
385849_17,,,,,
393051_01,,,,,
393051_02,,,,,
393802_08,,,,,
392730_02,,,,,
393051_01,,,,,
393051_02,,,,,
393049_01,,,,,
393049_02,,,,,
394757_01,,,,,
394757_02,,,,,
393119_01,,,,,
393119_03,,,,,
392518_01,,,,,
392518_02,,,,,
387468_06,,,,,
387468_08,,,,,
387468_11,,,,,
387468_13,,,,,
392733_10,,,,,
392733_11,,,,,
393772_01,,,,,
393772_02,,,,,
393772_05,,,,,
393214_01,,,,,
393214_02,,,,,
392495_02,,,,,
392495_08,,,,,
393582_01,,,,,
393582_02,,,,,
397069_01,,,,,
393058_01,,,,,
395645_01,,,,,
