shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Deviate Nitro 2 Winterised Women's Trail Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-winterised-womens-trail-running-shoes/376857?swatch=01&referrer-category=womens-shoes,Women,,,376857_01,Trail Running Shoes,,,,4,1,Puma,,,,,
Cilia Lux Women's Sneakers,"₹3,299","₹5,999",https://in.puma.com/in/en/pd/cilia-lux-womens-sneakers/370282?swatch=09&referrer-category=womens-shoes,Women,,,370282_09,Sneakers,,,,1,1,Puma,,,,,
Fier Nitro Women's Sneakers,"₹4,799","₹7,999",https://in.puma.com/in/en/pd/fier-nitro-womens-sneakers/389932?swatch=01&referrer-category=womens-shoes,Women,,,389932_01,Sneakers,,,,3,2,Puma,PUMA Black,Rose Dust,,,
Fier Nitro Women's Sneakers,"₹4,799","₹7,999",https://in.puma.com/in/en/pd/fier-nitro-womens-sneakers/389932?swatch=01&referrer-category=womens-shoes,Women,,,389932_02,Sneakers,,,,2,2,Puma,PUMA Black,Rose Dust,,,
Cali Dream Brand Love Women's Sneakers,"₹4,499","₹8,999",https://in.puma.com/in/en/pd/cali-dream-brand-love-womens-sneakers/394757?swatch=02&referrer-category=womens-shoes,Women,,,394757_01,Sneakers,,,,1,2,Puma,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,
Cali Dream Brand Love Women's Sneakers,"₹4,499","₹8,999",https://in.puma.com/in/en/pd/cali-dream-brand-love-womens-sneakers/394757?swatch=02&referrer-category=womens-shoes,Women,,,394757_02,Sneakers,,,,2,2,Puma,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,
Vikky v3 Mid Leather Women's Sneakers,"₹3,569","₹6,499",https://in.puma.com/in/en/pd/vikky-v3-mid-leather-womens-sneakers/387610?swatch=07&referrer-category=womens-shoes,Women,,,387610_07,Sneakers,,,,2,2,Puma,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,
Vikky v3 Mid Leather Women's Sneakers,"₹3,769","₹6,499",https://in.puma.com/in/en/pd/vikky-v3-mid-leather-womens-sneakers/387610?swatch=07&referrer-category=womens-shoes,Women,,,387610_08,Sneakers,,,,2,2,Puma,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,
Mayze Chelsea Women's Jelly Boots,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/mayze-chelsea-womens-jelly-boots/393626?swatch=02&referrer-category=womens-shoes,Women,,,393626_02,Jelly Boots,,,,1,1,Puma,,,,,
Future Rider Soft Women's Sneakers,"₹3,999","₹7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=20&referrer-category=womens-shoes,Women,,,381141_19,Sneakers,,,,6,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft Women's Sneakers,"₹3,759","₹7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=20&referrer-category=womens-shoes,Women,,,381141_20,Sneakers,,,,6,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft Women's Sneakers,"₹3,999","₹7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=19&referrer-category=womens-shoes,Women,,,381141_19,Sneakers,,,,6,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft Women's Sneakers,"₹3,759","₹7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=19&referrer-category=womens-shoes,Women,,,381141_20,Sneakers,,,,6,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Mayze Mix Women's Sneakers,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=13&referrer-category=womens-shoes,Women,,,387468_06,Sneakers,,,,2,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix Women's Sneakers,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=13&referrer-category=womens-shoes,Women,,,387468_08,Sneakers,,,,4,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix Women's Sneakers,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=13&referrer-category=womens-shoes,Women,,,387468_11,Sneakers,,,,6,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix Women's Sneakers,"₹4,499","₹8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=13&referrer-category=womens-shoes,Women,,,387468_13,Sneakers,,,,6,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
RS-Pulsoid Women's Sneakers,"₹5,999","₹9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=08&referrer-category=womens-shoes,Women,,,392497_01,Sneakers,,,,4,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid Women's Sneakers,"₹5,999","₹9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=08&referrer-category=womens-shoes,Women,,,392497_03,Sneakers,,,,6,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid Women's Sneakers,"₹5,999","₹9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=08&referrer-category=womens-shoes,Women,,,392497_08,Sneakers,,,,6,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid Women's Sneakers,"₹5,999","₹9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=08&referrer-category=womens-shoes,Women,,,392497_09,Sneakers,,,,6,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid Women's Sneakers,"₹5,999","₹9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=09&referrer-category=womens-shoes,Women,,,392497_01,Sneakers,,,,4,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
