shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Space Lab B and B Unisex Sneakers,"₹5,249","₹6,999",https://in.puma.com/in/en/pd/space-lab-b-and-b-unisex-sneakers/396688?swatch=02&referrer-category=mens-shoes,Unisex,,,396688_02,Sneakers,,,,5,1,Puma,,,,,
PWRFrame TR 2 Men's Training Shoes,"₹4,949","₹8,999",https://in.puma.com/in/en/pd/pwrframe-tr-2-mens-training-shoes/378790?swatch=01&referrer-category=mens-shoes,Men,,,378790_01,Training Shoes,,,,3,2,Puma,PUMA Black-Yellow Burst,Ash Gray-Ultra Blue,,,
PWRFrame TR 2 Men's Training Shoes,"₹4,679","₹8,999",https://in.puma.com/in/en/pd/pwrframe-tr-2-mens-training-shoes/378790?swatch=01&referrer-category=mens-shoes,Men,,,378790_02,Training Shoes,,,,6,2,Puma,PUMA Black-Yellow Burst,Ash Gray-Ultra Blue,,,
PWRFrame TR 2 Men's Training Shoes,"₹4,949","₹8,999",https://in.puma.com/in/en/pd/pwrframe-tr-2-mens-training-shoes/378790?swatch=02&referrer-category=mens-shoes,Men,,,378790_01,Training Shoes,,,,3,2,Puma,PUMA Black-Yellow Burst,Ash Gray-Ultra Blue,,,
PWRFrame TR 2 Men's Training Shoes,"₹4,679","₹8,999",https://in.puma.com/in/en/pd/pwrframe-tr-2-mens-training-shoes/378790?swatch=02&referrer-category=mens-shoes,Men,,,378790_02,Training Shoes,,,,6,2,Puma,PUMA Black-Yellow Burst,Ash Gray-Ultra Blue,,,
Blktop Rider Nostalgia Club Unisex Sneakers,"₹5,399","₹8,999",https://in.puma.com/in/en/pd/blktop-rider-nostalgia-club-unisex-sneakers/393237?swatch=01&referrer-category=mens-shoes,Unisex,,,393237_01,Sneakers,,,,2,1,Puma,,,,,
Speedcat Shield Unisex Sneakers,"₹4,399","₹7,999",https://in.puma.com/in/en/pd/speedcat-shield-unisex-sneakers/397116?swatch=01&referrer-category=mens-shoes,Unisex,,,397116_01,Sneakers,,,,2,1,Puma,,,,,
Softride Flex Lace Wide Unisex Running Sneakers,"₹3,299","₹5,499",https://in.puma.com/in/en/pd/softride-flex-lace-wide-unisex-running-sneakers/379351?swatch=04&referrer-category=mens-shoes,Unisex,,,379351_02,Running Sneakers,,,,6,2,Puma,PUMA Black-PUMA Black,PUMA Olive-PUMA Black,,,
Softride Flex Lace Wide Unisex Running Sneakers,"₹3,299","₹5,499",https://in.puma.com/in/en/pd/softride-flex-lace-wide-unisex-running-sneakers/379351?swatch=04&referrer-category=mens-shoes,Unisex,,,379351_04,Running Sneakers,,,,6,2,Puma,PUMA Black-PUMA Black,PUMA Olive-PUMA Black,,,
Softride Flex Lace Wide Unisex Running Sneakers,"₹3,299","₹5,499",https://in.puma.com/in/en/pd/softride-flex-lace-wide-unisex-running-sneakers/379351?swatch=02&referrer-category=mens-shoes,Unisex,,,379351_02,Running Sneakers,,,,6,2,Puma,PUMA Black-PUMA Black,PUMA Olive-PUMA Black,,,
