shoe_name,category,original_price,discounted_price,color_count,review_count,website,star_count,size_count,product_code,comfort,durability,color 1,color 2,color 3,color 4,color 5,0,1,2,3,4
Columbia Women Black SH/FT OUTDRY MID (Complete Waterproof),Women,"9,799","13,999",0.0,0.0,Columbia Sportswear,0.0,4.0,BL1020-012,,,,,,,,,,,,
Columbia Women Black TRAILSTORM PEAK MID,Women,"10,399","12,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL5578-010,,,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Grey TRAILSTORM PEAK MID,Women,"10,399","12,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL5578-053,,,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Black TRAILSTORM PEAK MID,Women,"10,399","12,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL5578-010,,,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Grey TRAILSTORM PEAK MID,Women,"10,399","12,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL5578-053,,,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Blue TRAILSTORM BEYOND,Women,"5,599","6,999",0.0,0.0,Columbia Sportswear,0.0,5.0,BL0354-439,,,,,,,,,,,,
Columbia Women Green COLUMBIA VENT AERO,Women,"6,299","8,999",2.0,41.0,Columbia Sportswear,4.0,5.0,BL0159-329,,,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black COLUMBIA VENT AERO,Women,"6,299","8,999",2.0,41.0,Columbia Sportswear,4.0,5.0,BL0159-010,,,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Green COLUMBIA VENT AERO,Women,"6,299","8,999",2.0,41.0,Columbia Sportswear,4.0,5.0,BL0159-329,,,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black COLUMBIA VENT AERO,Women,"6,299","8,999",2.0,41.0,Columbia Sportswear,4.0,5.0,BL0159-010,,,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black MINX SLIP IV Water Resistant Shoes,Women,"10,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL9797-010,,,"Black, Graphite","Sea Salt, Light Cloud",,,,,,,,
Columbia Women White MINX SLIP IV Water Resistant Shoes,Women,"10,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL9797-125,,,"Black, Graphite","Sea Salt, Light Cloud",,,,,,,,
Columbia Women PURPLE Thrive Revive,Women,"5,399","5,999",0.0,0.0,Columbia Sportswear,0.0,5.0,BL8043-535,,,,,,,,,,,,
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,39.0,Columbia Sportswear,4.0,5.0,BL0659-012,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-089,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-010,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,35.0,Columbia Sportswear,4.0,5.0,BL0659-271,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,32.0,Columbia Sportswear,5.0,5.0,BL5953-012,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-036,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black Peakfreak II Outdry (Complete Waterproof),Women,"9,999",,4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-005,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),Women,"8,999","9,999",4.0,22.0,Columbia Sportswear,5.0,5.0,BL5953-471,,,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women GREY Hatana Breathe,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL7444-020,,,"Light Cloud, Sea Wave","Steam, Peach",,,,,,,,
Columbia Women GREY Hatana Breathe,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL7444-086,,,"Light Cloud, Sea Wave","Steam, Peach",,,,,,,,
Columbia Women BROWN Plateau Venture,Women,"7,199","7,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL4497-247,,,"Canvas Tan, Blue Dusk","Shale Mauve, Peatmoss",,,,,,,,
Columbia Women PURPLE Plateau Venture,Women,"7,199","7,999",2.0,0.0,Columbia Sportswear,0.0,5.0,BL4497-553,,,"Canvas Tan, Blue Dusk","Shale Mauve, Peatmoss",,,,,,,,
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,39.0,Columbia Sportswear,4.0,5.0,BL0659-012,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-089,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,29.0,Columbia Sportswear,4.0,5.0,BL0659-010,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,"10,999",,4.0,35.0,Columbia Sportswear,4.0,5.0,BL0659-271,,,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women GREY Hatana Breathe,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL7444-020,,,"Light Cloud, Sea Wave","Steam, Peach",,,,,,,,
Columbia Women GREY Hatana Breathe,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL7444-086,,,"Light Cloud, Sea Wave","Steam, Peach",,,,,,,,
Columbia Women Black RE-PEAK MID,Women,"9,999",,2.0,0.0,Columbia Sportswear,0.0,5.0,BL6940-005,,,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
