shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5,0,1,2,3,4
Columbia Women Black SH/FT OUTDRY MID (Complete Waterproof),"9,799","13,999",https://columbiasportswear.co.in/women/footwear-women/sh-ft-outdry-mid-bl1020-012,Women,0.0,0.0,BL1020-012,,,,,4.0,0.0,columbia,,,,,,,,,,
Columbia Women Black TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bl5578-053,Women,0.0,0.0,BL5578-010,,,,,5.0,2.0,columbia,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Grey TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bl5578-053,Women,0.0,0.0,BL5578-053,,,,,5.0,2.0,columbia,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Black TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bl5578-053,Women,0.0,0.0,BL5578-010,,,,,5.0,2.0,columbia,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Grey TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bl5578-053,Women,0.0,0.0,BL5578-053,,,,,5.0,2.0,columbia,"Black, Dark Grey","Graphite, Icy Morn",,,,,,,,
Columbia Women Blue TRAILSTORM BEYOND,"5,599","6,999",https://columbiasportswear.co.in/women/footwear-women/trailstorm-beyond-bl0354-439,Women,0.0,0.0,BL0354-439,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Women Green COLUMBIA VENT AERO,"6,299","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bl0159-010,Women,41.0,4.0,BL0159-329,,,,,5.0,2.0,columbia,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black COLUMBIA VENT AERO,"6,299","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bl0159-010,Women,41.0,4.0,BL0159-010,,,,,5.0,2.0,columbia,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Green COLUMBIA VENT AERO,"6,299","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bl0159-010,Women,41.0,4.0,BL0159-329,,,,,5.0,2.0,columbia,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black COLUMBIA VENT AERO,"6,299","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bl0159-010,Women,41.0,4.0,BL0159-010,,,,,5.0,2.0,columbia,"Icy Morn, Black","Black, Velvet Cove",,,,,,,,
Columbia Women Black MINX SLIP IV Water Resistant Shoes,"10,999",,https://columbiasportswear.co.in/columbia-women-white-minx-slip-iv-bl9797-125,Women,0.0,0.0,BL9797-010,,,,,5.0,2.0,columbia,"Black, Graphite","Sea Salt, Light Cloud",,,,,,,,
