shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color_1,color_2,color_3,color_4,color_5
Deviate Nitro 2 Winterised women's Trail Running Shoes,"9,599","15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-winterised-womens-trail-running-shoes/376857?swatch=01&referrer-category=womens-shoes,women,,,376857_01,Trail Running Shoes,,,,4.0,1,Puma,,,,,
Cilia Lux women's Sneakers,"3,299","5,999",https://in.puma.com/in/en/pd/cilia-lux-womens-sneakers/370282?swatch=09&referrer-category=womens-shoes,women,,,370282_09,Sneakers,,,,1.0,1,Puma,,,,,
Fier Nitro women's Sneakers,"4,799","7,999",https://in.puma.com/in/en/pd/fier-nitro-womens-sneakers/389932?swatch=01&referrer-category=womens-shoes,women,,,389932_01,Sneakers,,,,3.0,2,Puma,PUMA Black,Rose Dust,,,
Fier Nitro women's Sneakers,"4,799","7,999",https://in.puma.com/in/en/pd/fier-nitro-womens-sneakers/389932?swatch=01&referrer-category=womens-shoes,women,,,389932_02,Sneakers,,,,2.0,2,Puma,PUMA Black,Rose Dust,,,
Cali Dream Brand Love women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/cali-dream-brand-love-womens-sneakers/394757?swatch=02&referrer-category=womens-shoes,women,,,394757_01,Sneakers,,,,1.0,2,Puma,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,
Cali Dream Brand Love women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/cali-dream-brand-love-womens-sneakers/394757?swatch=02&referrer-category=womens-shoes,women,,,394757_02,Sneakers,,,,2.0,2,Puma,PUMA White-Hot Heat,PUMA White-Peach Smoothie,,,
Vikky v3 Mid Leather women's Sneakers,"3,569","6,499",https://in.puma.com/in/en/pd/vikky-v3-mid-leather-womens-sneakers/387610?swatch=07&referrer-category=womens-shoes,women,,,387610_07,Sneakers,,,,2.0,2,Puma,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,
Vikky v3 Mid Leather women's Sneakers,"3,769","6,499",https://in.puma.com/in/en/pd/vikky-v3-mid-leather-womens-sneakers/387610?swatch=07&referrer-category=womens-shoes,women,,,387610_08,Sneakers,,,,2.0,2,Puma,PUMA White-Poppy Pink-PUMA Gold,PUMA White-Blissful Blue-PUMA Gold,,,
Mayze Chelsea women's Jelly Boots,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-chelsea-womens-jelly-boots/393626?swatch=02&referrer-category=womens-shoes,women,,,393626_02,Jelly Boots,,,,1.0,1,Puma,,,,,
Future Rider Soft women's Sneakers,"3,999","7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=20&referrer-category=womens-shoes,women,,,381141_19,Sneakers,,,,6.0,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft women's Sneakers,"3,759","7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=20&referrer-category=womens-shoes,women,,,381141_20,Sneakers,,,,6.0,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft women's Sneakers,"3,999","7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=19&referrer-category=womens-shoes,women,,,381141_19,Sneakers,,,,6.0,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
Future Rider Soft women's Sneakers,"3,759","7,999",https://in.puma.com/in/en/pd/future-rider-soft-womens-sneakers/381141?swatch=19&referrer-category=womens-shoes,women,,,381141_20,Sneakers,,,,6.0,2,Puma,PUMA White-Crushed Berry,Silver Mist-Peach Fizz,,,
