shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Nike Air Alpha Force 88 x Billie,11 895.00,https://www.nike.com/in/t/air-alpha-force-88-billie-shoes-gxnhBC/DZ6763-102,Men,3,5.0,DZ6763-102,Shoes,,,,19,2,Nike,White/Neutral Grey/Black,White/Neutral Grey/Fire Red,,,
Nike Air Alpha Force 88 x Billie,11 895.00,https://www.nike.com/in/t/air-alpha-force-88-billie-shoes-gxnhBC/DZ6763-102,Men,3,5.0,DZ6763-101,Shoes,,,,0,2,Nike,White/Neutral Grey/Black,White/Neutral Grey/Fire Red,,,
NikeCourt Air Zoom Vapor 11,14 995.00,https://www.nike.com/in/t/nikecourt-air-zoom-vapor-11-hard-court-tennis-shoes-8PLCHs/DR6966-300,Men,9,4.6,DR6966-300,Hard Court Tennis Shoes,,,,13,2,Nike,Teal Nebula/Geode Teal/White,White/Picante Red/Black/Fuchsia Dream,,,
NikeCourt Air Zoom Vapor 11,10 497.00,https://www.nike.com/in/t/nikecourt-air-zoom-vapor-11-hard-court-tennis-shoes-8PLCHs/DR6966-300,Men,9,4.6,DR6966-100,Hard Court Tennis Shoes,,,,0,2,Nike,Teal Nebula/Geode Teal/White,White/Picante Red/Black/Fuchsia Dream,,,
Nike BRSB,7 495.00,https://www.nike.com/in/t/brsb-skate-shoes-RJF3Ss/DH9227-001,Unisex,13,4.1,DH9227-101,Skate Shoes,,100.0,50.0,15,2,Nike,White/White/Black/Black,Black/Black/White/White,,,
Nike BRSB,7 495.00,https://www.nike.com/in/t/brsb-skate-shoes-RJF3Ss/DH9227-001,Unisex,13,4.1,DH9227-001,Skate Shoes,,100.0,50.0,13,2,Nike,White/White/Black/Black,Black/Black/White/White,,,
Nike SB React Leo Premium,8 695.00,https://www.nike.com/in/t/sb-react-leo-skate-shoes-K7X9W0/FD0268-100,Unisex,1,5.0,FD0268-100,Skate Shoes,,,,12,1,Nike,,,,,
Nike Air Max 1 Premium,14 995.00,https://www.nike.com/in/t/air-max-1-shoes-ckDZ1S/FQ8172-645,Unisex,0,0.0,FQ8172-645,Shoes,,,,13,1,Nike,,,,,
Freak 5 EP,11 495.00,https://www.nike.com/in/t/freak-5-ep-basketball-shoes-dPwdt7/DX4996-300,Unisex,1,5.0,DX4996-600,Basketball Shoes,,100.0,50.0,11,7,Nike,Noble Red/Desert Berry/Guava Ice/Ice Peach,White/White/Black,Black/Fuchsia Dream/Baltic Blue/Phantom,Geode Teal/Purple Ink/Total Orange/Jade Ice,Light Orewood Brown/Medium Soft Pink/Emerald Rise
Freak 5 EP,11 495.00,https://www.nike.com/in/t/freak-5-ep-basketball-shoes-dPwdt7/DX4996-300,Unisex,1,5.0,DX4996-101,Basketball Shoes,,100.0,50.0,11,7,Nike,Noble Red/Desert Berry/Guava Ice/Ice Peach,White/White/Black,Black/Fuchsia Dream/Baltic Blue/Phantom,Geode Teal/Purple Ink/Total Orange/Jade Ice,Light Orewood Brown/Medium Soft Pink/Emerald Rise
