shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-GYPK,,,,60.0,4,1,skechers,,,,,
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-NVLB,,,,60.0,4,2,skechers,GREY/PINK,NAVY/LIGHT BLUE,,,
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-GYPK,,,,60.0,4,1,skechers,,,,,
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-NVLB,,,,60.0,4,2,skechers,GREY/PINK,NAVY/LIGHT BLUE,,,
FOOTSTEPS - TRANSCEND,"2,999.00",https://www.skechers.in/footsteps---transcend/111070-YEL.html,WOMEN,48,4.7,111070-TURQ,,,,60.0,0,1,skechers,,,,,
FOOTSTEPS - TRANSCEND,"2,999.00",https://www.skechers.in/footsteps---transcend/111070-YEL.html,WOMEN,48,4.7,111070-YEL,,,,60.0,3,2,skechers,TURQUOISE,YELLOW,,,
FOOTSTEPS - TRANSCEND,"2,999.00",https://www.skechers.in/footsteps---transcend/111070-YEL.html,WOMEN,48,4.7,111070-WHT,,,,60.0,0,3,skechers,TURQUOISE,YELLOW,WWWHITE,,
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-GYPK,,,,60.0,4,1,skechers,,,,,
GO WALK ARCH FIT -OCEAN VIBES,"8,499.00",https://www.skechers.in/go-walk-arch-fit--ocean-vibes/124885-NVLB.html,WOMEN,12,4.8,124885-NVLB,,,,60.0,4,2,skechers,GREY/PINK,NAVY/LIGHT BLUE,,,
GO RUN MAX ROAD 6,"14,999.00",https://www.skechers.in/go-run-max-road-6/172078-BLLM.html,WOMEN,12,4.9,172078-BLLM,,,,60.0,3,1,skechers,,,,,
