shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Woodland Olive Green Trekking Shoes,2 297,4 595,https://www.woodlandworldwide.com/productinfo/FGC0L80R7421Z-CAMEL,Men,Nan,Nan,FGC0L80R7421Z-CAMEL,Shoes,Nan,Nan,size,4,3,Woodland,CAMEL,KHAKI,OLIVE GREEN,,
Woodland Olive Green Trekking Shoes,2 297,4 595,https://www.woodlandworldwide.com/productinfo/FGC0L80R7421Z-KHAKI,Men,Nan,Nan,FGC0L80R7421Z-KHAKI,Shoes,Nan,Nan,size,0,3,Woodland,CAMEL,KHAKI,OLIVE GREEN,,
Woodland Olive Green Trekking Shoes,2 297,4 595,https://www.woodlandworldwide.com/productinfo/FGC0L80R7421Z-OLIVE_GREEN,Men,Nan,Nan,FGC0L80R7421Z-OLIVE_GREEN,Shoes,Nan,Nan,size,5,3,Woodland,CAMEL,KHAKI,OLIVE GREEN,,
Olive Hiking Boot,2 427,4 495,https://www.woodlandworldwide.com/productinfo/FGC0L4001101C-KHAKI,Men,Nan,Nan,FGC0L4001101C-KHAKI,Boot,Nan,Nan,size,2,3,Woodland,KHAKI,CAMEL,OLIVE,,
Olive Hiking Boot,2 427,4 495,https://www.woodlandworldwide.com/productinfo/FGC0L4001101C-CAMEL,Men,Nan,Nan,FGC0L4001101C-CAMEL,Boot,Nan,Nan,size,5,3,Woodland,KHAKI,CAMEL,OLIVE,,
Olive Hiking Boot,2 427,4 495,https://www.woodlandworldwide.com/productinfo/FGC0L4001101C-OLIVE,Men,Nan,Nan,FGC0L4001101C-OLIVE,Boot,Nan,Nan,size,3,3,Woodland,KHAKI,CAMEL,OLIVE,,
Camel Boot For Men,5 995,,https://www.woodlandworldwide.com/productinfo/FGC015050091A-NAVY,Men,Nan,Nan,FGC015050091A-NAVY,Boot,Nan,Nan,size,7,4,Woodland,NAVY,DUBAI KHAKI,OLIVE GREEN,CAMEL,
Camel Boot For Men,5 995,,https://www.woodlandworldwide.com/productinfo/FGC015050091A-DUBAI_KHAKI,Men,Nan,Nan,FGC015050091A-DUBAI_KHAKI,Boot,Nan,Nan,size,7,4,Woodland,NAVY,DUBAI KHAKI,OLIVE GREEN,CAMEL,
Camel Boot For Men,5 995,,https://www.woodlandworldwide.com/productinfo/FGC015050091A-OLIVE_GREEN,Men,Nan,Nan,FGC015050091A-OLIVE_GREEN,Boot,Nan,Nan,size,7,4,Woodland,NAVY,DUBAI KHAKI,OLIVE GREEN,CAMEL,
Camel Boot For Men,5 995,,https://www.woodlandworldwide.com/productinfo/FGC015050091A-CAMEL,Men,Nan,Nan,FGC015050091A-CAMEL,Boot,Nan,Nan,size,7,4,Woodland,NAVY,DUBAI KHAKI,OLIVE GREEN,CAMEL,
Woodland BROWN Hiking Boots,2 700,6 995,https://www.woodlandworldwide.com/productinfo/FGC099009251D-SNAYPE,Men,Nan,Nan,FGC099009251D-SNAYPE,Boots,Nan,Nan,size,4,2,Woodland,SNAYPE,BROWN,,,
Woodland BROWN Hiking Boots,2 700,6 995,https://www.woodlandworldwide.com/productinfo/FGC099009251D-BROWN,Men,Nan,Nan,FGC099009251D-BROWN,Boots,Nan,Nan,size,3,2,Woodland,SNAYPE,BROWN,,,
Dubai Khaki Boot For Men,3 034,4 495,https://www.woodlandworldwide.com/productinfo/FGC015034851A-CASHEW_BROWN,Men,Nan,Nan,FGC015034851A-CASHEW_BROWN,Boot,Nan,Nan,size,4,2,Woodland,CASHEW BROWN,DUBAI KHAKI,,,
