shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
OZWEEGO SHOES,12 999.00,,https://www.adidas.co.in/ozweego-shoes/EE6461.html,Men ,59.0,,EE6461, Originals,86.0,80.0,53.0,,2,adidas,Trace Cargo / Night Cargo / Raw Khaki,Pale Nude / Light Brown / Solar Red,,,
OZWEEGO SHOES,12 999.00,,https://www.adidas.co.in/ozweego-shoes/EE6462.html,Men ,59.0,,EE6462, Originals,86.0,80.0,53.0,,2,adidas,Trace Cargo / Night Cargo / Raw Khaki,Pale Nude / Light Brown / Solar Red,,,
STRIDZAR,4 299.00,3 009.50,https://www.adidas.co.in/stridzar/IQ9842.html,Unisex,,,IQ9842,Nan,,,,,3,adidas,Arctic Night F23 / Preloved Yellow F23,Grey Six / Stone / Preloved Yellow F23,Wonder Steel F22 / Core Black / Stone,,
STRIDZAR,4 299.00,3 009.50,https://www.adidas.co.in/stridzar/IQ9843.html,Unisex,,,IQ9843,Nan,,,,,3,adidas,Arctic Night F23 / Preloved Yellow F23,Grey Six / Stone / Preloved Yellow F23,Wonder Steel F22 / Core Black / Stone,,
STRIDZAR,4 299.00,3 009.50,https://www.adidas.co.in/stridzar/IQ9844.html,Unisex,,,IQ9844,Nan,,,,,3,adidas,Arctic Night F23 / Preloved Yellow F23,Grey Six / Stone / Preloved Yellow F23,Wonder Steel F22 / Core Black / Stone,,
ADILETTE COMFORT FLIP-FLOPS,3 999.00,,https://www.adidas.co.in/adilette-comfort-flip-flops/HQ4458.html,Women ,65.0,,HQ4458, Sportswear,93.0,93.0,53.0,,2,adidas,Core Black / Core White / Core Black,Bliss Lilac / Violet Fusion / Bliss Lilac,,,
ADILETTE COMFORT FLIP-FLOPS,3 999.00,,https://www.adidas.co.in/adilette-comfort-flip-flops/HQ6880.html,Women ,65.0,,HQ6880, Sportswear,93.0,93.0,53.0,,2,adidas,Core Black / Core White / Core Black,Bliss Lilac / Violet Fusion / Bliss Lilac,,,
DURAMO 10 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/duramo-10-shoes/HP2375.html,Men ,1633.0,,HP2375, Running,84.0,83.0,52.0,,3,adidas,Light Grey / Screaming Orange S21 / Solar Gold,Light Grey / Screaming Orange S21 / Solar Gold,Cloud White / Lucid Blue S23 / Shock Pink,,
DURAMO 10 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/duramo-10-shoes/HP2375.html,Men ,1633.0,,HP2375, Running,84.0,83.0,52.0,,3,adidas,Light Grey / Screaming Orange S21 / Solar Gold,Light Grey / Screaming Orange S21 / Solar Gold,Cloud White / Lucid Blue S23 / Shock Pink,,
DURAMO 10 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/duramo-10-shoes/HP2377.html,Men ,1633.0,,HP2377, Running,84.0,83.0,52.0,,3,adidas,Light Grey / Screaming Orange S21 / Solar Gold,Light Grey / Screaming Orange S21 / Solar Gold,Cloud White / Lucid Blue S23 / Shock Pink,,
ADIMATIC SHOES,11 999.00,,https://www.adidas.co.in/adimatic-shoes/IE9862.html,Unisex,2.0,,IE9862,Originals,75.0,62.0,62.0,,2,adidas,Wonder Clay / Off White / Gum,Olive Strata S23 / Wonder Beige F23 / Off White,,,
ADIMATIC SHOES,11 999.00,,https://www.adidas.co.in/adimatic-shoes/IE9864.html,Unisex,2.0,,IE9864,Originals,75.0,62.0,62.0,,2,adidas,Wonder Clay / Off White / Gum,Olive Strata S23 / Wonder Beige F23 / Off White,,,
ZX 700 HD SHOES,9 999.00,5 999.50,https://www.adidas.co.in/zx-700-hd-shoes/FX7022.html,Men ,9.0,,FX7022, Originals,75.0,80.0,52.0,,2,adidas,Wild Pine / Silver Metallic / Halo Gold S21,Core Black / Core Black / Cloud White,,,
ZX 700 HD SHOES,9 999.00,5 999.50,https://www.adidas.co.in/zx-700-hd-shoes/G55780.html,Men ,9.0,,G55780, Originals,75.0,80.0,52.0,,2,adidas,Wild Pine / Silver Metallic / Halo Gold S21,Core Black / Core Black / Cloud White,,,
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HP5783.html,Women ,359.0,,HP5783, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HP5786.html,Women ,359.0,,HP5786, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HP5787.html,Women ,359.0,,HP5787, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HP5788.html,Women ,359.0,,HP5788, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HP5789.html,Women ,359.0,,HP5789, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/HQ3786.html,Women ,359.0,,HQ3786, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/ID2243.html,Women ,359.0,,ID2243, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/ID2246.html,Women ,359.0,,ID2246, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/ID2247.html,Women ,359.0,,ID2247, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ULTRABOUNCE SHOES,7 999.00,,https://www.adidas.co.in/ultrabounce-shoes/ID2248.html,Women ,359.0,,ID2248, Running,89.0,88.0,52.0,,10,adidas,Blue Dawn S23 / Dash Grey S20 / Blue Fusion S23,Core Black / Core Black / Carbon,Core Black / Cloud White / Core Black,Cloud White / Cloud White / Crystal White,Almost Pink S22 / Cloud White / Crystal White
ADIFOM CLIMACOOL SHOES,11 999.00,,https://www.adidas.co.in/adifom-climacool-shoes/IF3899.html,Men ,158.0,,IF3899, Originals,91.0,88.0,51.0,,5,adidas,Lucid Blue / Core Black / Grey Six,Wonder Beige / Wonder Beige / Magic Beige,Better Scarlet / Better Scarlet / Red,Core Black / Core Black / Better Scarlet,Wonder White F21 / Core Black / Better Scarlet
ADIFOM CLIMACOOL SHOES,11 999.00,,https://www.adidas.co.in/adifom-climacool-shoes/IF3904.html,Men ,158.0,,IF3904, Originals,91.0,88.0,51.0,,5,adidas,Lucid Blue / Core Black / Grey Six,Wonder Beige / Wonder Beige / Magic Beige,Better Scarlet / Better Scarlet / Red,Core Black / Core Black / Better Scarlet,Wonder White F21 / Core Black / Better Scarlet
